,Emotion Profile,Genre
0,2,Rock
1,3,Jazz
2,3,HipHop
3,0,Classical
4,3,HipHop
5,3,Classical
6,2,Classical
7,3,Classical
8,3,Pop
9,0,Pop
10,3,Classical
11,3,HipHop
12,2,Rock
13,3,Pop
14,3,Classical
15,3,Pop
16,3,Jazz
17,0,Pop
18,0,Rock
19,1,HipHop
20,1,Classical
21,2,Jazz
22,3,Jazz
23,3,Classical
24,3,Classical
25,3,Classical
26,3,Classical
27,3,Pop
28,3,HipHop
29,1,HipHop
30,1,Classical
31,1,Jazz
32,3,Pop
33,0,Rock
34,0,Classical
35,1,HipHop
36,3,Classical
37,1,Rock
38,1,Jazz
39,0,Rock
40,3,Jazz
41,3,HipHop
42,0,Rock
43,3,Jazz
44,2,Pop
45,2,Jazz
46,0,HipHop
47,2,HipHop
48,1,Rock
49,1,Rock
50,1,Jazz
51,3,Pop
52,0,Pop
53,3,Classical
54,0,Jazz
55,3,Pop
56,0,Jazz
57,1,Classical
58,1,HipHop
59,3,HipHop
60,0,Rock
61,1,Jazz
62,0,Pop
63,0,Rock
64,2,Pop
65,0,HipHop
66,1,Jazz
67,2,Rock
68,3,Classical
69,3,Classical
70,0,Rock
71,0,HipHop
72,3,Pop
73,3,Jazz
74,2,Jazz
75,3,Pop
76,2,Jazz
77,0,Rock
78,1,HipHop
79,2,Rock
80,3,Classical
81,3,Pop
82,1,Rock
83,1,HipHop
84,1,Rock
85,1,Jazz
86,3,Rock
87,1,Pop
88,1,HipHop
89,0,Rock
90,3,HipHop
91,1,Classical
92,0,HipHop
93,2,Pop
94,1,HipHop
95,3,Pop
96,0,Rock
97,0,Jazz
98,3,Jazz
99,2,Pop
