,Emotion Profile,Genre
0,3,Rock
1,3,Jazz
2,1,HipHop
3,3,Classical
4,1,HipHop
5,3,Classical
6,2,Classical
7,3,Classical
8,3,Pop
9,0,Pop
10,2,Classical
11,1,HipHop
12,3,Rock
13,3,Pop
14,2,Classical
15,3,Pop
16,2,Jazz
17,0,Pop
18,1,Rock
19,0,HipHop
20,2,Classical
21,2,Jazz
22,3,Jazz
23,3,Classical
24,3,Classical
25,2,Classical
26,3,Classical
27,3,Pop
28,1,HipHop
29,1,HipHop
30,3,Classical
31,3,Jazz
32,2,Pop
33,1,Rock
34,2,Classical
35,1,HipHop
36,2,Classical
37,0,Rock
38,1,Jazz
39,0,Rock
40,3,Jazz
41,1,HipHop
42,1,Rock
43,3,Jazz
44,0,Pop
45,2,Jazz
46,1,HipHop
47,3,HipHop
48,0,Rock
49,1,Rock
50,2,Jazz
51,2,Pop
52,0,Pop
53,3,Classical
54,0,Jazz
55,3,Pop
56,0,Jazz
57,3,Classical
58,1,HipHop
59,1,HipHop
60,0,Rock
61,2,Jazz
62,1,Pop
63,1,Rock
64,0,Pop
65,0,HipHop
66,0,Jazz
67,3,Rock
68,3,Classical
69,3,Classical
70,0,Rock
71,1,HipHop
72,1,Pop
73,3,Jazz
74,2,Jazz
75,3,Pop
76,2,Jazz
77,1,Rock
78,1,HipHop
79,0,Rock
80,3,Classical
81,0,Pop
82,0,Rock
83,0,HipHop
84,0,Rock
85,0,Jazz
86,2,Rock
87,0,Pop
88,1,HipHop
89,1,Rock
90,1,HipHop
91,0,Classical
92,1,HipHop
93,2,Pop
94,1,HipHop
95,1,Pop
96,1,Rock
97,2,Jazz
98,3,Jazz
99,2,Pop
