,Emotion Profile,Genre
0,2,Rock
1,0,Jazz
2,1,HipHop
3,1,Classical
4,0,HipHop
5,2,Classical
6,3,Classical
7,0,Classical
8,3,Pop
9,0,Pop
10,1,Classical
11,0,HipHop
12,3,Rock
13,3,Pop
14,0,Classical
15,3,Pop
16,2,Jazz
17,0,Pop
18,1,Rock
19,0,HipHop
20,0,Classical
21,3,Jazz
22,2,Jazz
23,1,Classical
24,2,Classical
25,0,Classical
26,0,Classical
27,2,Pop
28,1,HipHop
29,0,HipHop
30,1,Classical
31,3,Jazz
32,2,Pop
33,1,Rock
34,1,Classical
35,1,HipHop
36,0,Classical
37,1,Rock
38,1,Jazz
39,0,Rock
40,0,Jazz
41,1,HipHop
42,1,Rock
43,3,Jazz
44,3,Pop
45,3,Jazz
46,0,HipHop
47,3,HipHop
48,3,Rock
49,1,Rock
50,3,Jazz
51,2,Pop
52,0,Pop
53,1,Classical
54,0,Jazz
55,2,Pop
56,0,Jazz
57,3,Classical
58,1,HipHop
59,1,HipHop
60,1,Rock
61,3,Jazz
62,1,Pop
63,1,Rock
64,0,Pop
65,0,HipHop
66,0,Jazz
67,1,Rock
68,0,Classical
69,0,Classical
70,0,Rock
71,0,HipHop
72,0,Pop
73,3,Jazz
74,2,Jazz
75,3,Pop
76,3,Jazz
77,1,Rock
78,1,HipHop
79,2,Rock
80,1,Classical
81,1,Pop
82,0,Rock
83,1,HipHop
84,0,Rock
85,0,Jazz
86,2,Rock
87,1,Pop
88,1,HipHop
89,1,Rock
90,1,HipHop
91,1,Classical
92,1,HipHop
93,3,Pop
94,0,HipHop
95,1,Pop
96,1,Rock
97,3,Jazz
98,2,Jazz
99,2,Pop
